ID_LOKAL,DRUH,PA_TYPE
9305469,Phengaris nausithous,EVL_any
12692571,Phengaris teleius,EVL_any
12692570,Phengaris teleius,EVL_any
9362394,Phengaris teleius,EVL_any
9361638,Phengaris teleius,EVL_any
9305469,Phengaris teleius,EVL_any
9305468,Phengaris teleius,EVL_any
7166362,Phengaris nausithous,EVL_any
7068987,Phengaris nausithous,EVL_any
7068949,Phengaris nausithous,EVL_any
7068993,Phengaris nausithous,EVL_any
7068949,Phengaris nausithous,EVL_any
7068989,Phengaris nausithous,EVL_any
7166362,Phengaris teleius,EVL_any
7068949,Phengaris teleius,EVL_any
7068993,Phengaris teleius,EVL_any
7068993,Phengaris teleius,EVL_any
8352568,Phengaris nausithous,EVL_any
8956772,Phengaris nausithous,EVL_any
12670943,Phengaris nausithous,EVL_any
9473558,Phengaris nausithous,EVL_any
12671906,Phengaris nausithous,EVL_any
12672077,Phengaris nausithous,EVL_any
12672007,Phengaris nausithous,EVL_any
12671250,Phengaris nausithous,EVL_any
12671813,Phengaris nausithous,EVL_any
12671218,Phengaris nausithous,EVL_any
11947099,Phengaris nausithous,EVL_any
10083261,Phengaris nausithous,EVL_any
7587704,Phengaris nausithous,EVL_any
7549386,Phengaris nausithous,EVL_any
7540301,Phengaris nausithous,EVL_any
7540443,Phengaris nausithous,EVL_any
7540436,Phengaris nausithous,EVL_any
7540435,Phengaris nausithous,EVL_any
7187684,Phengaris nausithous,EVL_any
7187682,Phengaris nausithous,EVL_any
7187681,Phengaris nausithous,EVL_any
7187680,Phengaris nausithous,EVL_any
7187679,Phengaris nausithous,EVL_any
7187677,Phengaris nausithous,EVL_any
7187673,Phengaris nausithous,EVL_any
7187672,Phengaris nausithous,EVL_any
7187671,Phengaris nausithous,EVL_any
7187634,Phengaris nausithous,EVL_any
7187632,Phengaris nausithous,EVL_any
7187622,Phengaris nausithous,EVL_any
7187621,Phengaris nausithous,EVL_any
7187620,Phengaris nausithous,EVL_any
7187619,Phengaris nausithous,EVL_any
7187618,Phengaris nausithous,EVL_any
7187617,Phengaris nausithous,EVL_any
7187616,Phengaris nausithous,EVL_any
7187615,Phengaris nausithous,EVL_any
7187614,Phengaris nausithous,EVL_any
7187556,Phengaris nausithous,EVL_any
7187552,Phengaris nausithous,EVL_any
7187550,Phengaris nausithous,EVL_any
7187549,Phengaris nausithous,EVL_any
7187548,Phengaris nausithous,EVL_any
7187547,Phengaris nausithous,EVL_any
7187547,Phengaris nausithous,EVL_any
7187546,Phengaris nausithous,EVL_any
7187545,Phengaris nausithous,EVL_any
7187544,Phengaris nausithous,EVL_any
7187541,Phengaris nausithous,EVL_any
7187540,Phengaris nausithous,EVL_any
7187539,Phengaris nausithous,EVL_any
7187538,Phengaris nausithous,EVL_any
7187510,Phengaris nausithous,EVL_any
7187509,Phengaris nausithous,EVL_any
7187508,Phengaris nausithous,EVL_any
7187507,Phengaris nausithous,EVL_any
7187506,Phengaris nausithous,EVL_any
7187505,Phengaris nausithous,EVL_any
7187450,Phengaris nausithous,EVL_any
7187446,Phengaris nausithous,EVL_any
7187403,Phengaris nausithous,EVL_any
7187398,Phengaris nausithous,EVL_any
7187397,Phengaris nausithous,EVL_any
7187306,Phengaris nausithous,EVL_any
7187301,Phengaris nausithous,EVL_any
7187298,Phengaris nausithous,EVL_any
7187294,Phengaris nausithous,EVL_any
7187284,Phengaris nausithous,EVL_any
7187283,Phengaris nausithous,EVL_any
7187283,Phengaris nausithous,EVL_any
7187011,Phengaris nausithous,EVL_any
7040848,Phengaris nausithous,EVL_any
7040722,Phengaris nausithous,EVL_any
7040719,Phengaris nausithous,EVL_any
7040708,Phengaris nausithous,EVL_any
7040704,Phengaris nausithous,EVL_any
7039046,Phengaris nausithous,EVL_any
7066628,Phengaris nausithous,EVL_any
7038154,Phengaris nausithous,EVL_any
7038113,Phengaris nausithous,EVL_any
7028567,Phengaris nausithous,EVL_any
7028564,Phengaris nausithous,EVL_any
7028536,Phengaris nausithous,EVL_any
7028533,Phengaris nausithous,EVL_any
7028529,Phengaris nausithous,EVL_any
8574352,Phengaris nausithous,EVL_any
8574351,Phengaris nausithous,EVL_any
12671379,Phengaris nausithous,EVL_any
12671299,Phengaris nausithous,EVL_any
12671740,Phengaris nausithous,EVL_any
12671452,Phengaris nausithous,EVL_any
12671232,Phengaris nausithous,EVL_any
12670937,Phengaris nausithous,EVL_any
12671704,Phengaris nausithous,EVL_any
12671683,Phengaris nausithous,EVL_any
12671663,Phengaris nausithous,EVL_any
12671762,Phengaris nausithous,EVL_any
12671684,Phengaris nausithous,EVL_any
8574451,Phengaris nausithous,EVL_any
12671275,Phengaris nausithous,EVL_any
8574123,Phengaris nausithous,EVL_any
12671975,Phengaris nausithous,EVL_any
12671538,Phengaris nausithous,EVL_any
12671853,Phengaris nausithous,EVL_any
12671550,Phengaris nausithous,EVL_any
12672053,Phengaris nausithous,EVL_any
8318888,Phengaris nausithous,EVL_any
8318887,Phengaris nausithous,EVL_any
8318886,Phengaris nausithous,EVL_any
7187542,Phengaris nausithous,EVL_any
8318888,Phengaris teleius,EVL_any
8318887,Phengaris teleius,EVL_any
8318886,Phengaris teleius,EVL_any
12671684,Phengaris nausithous,EVL_any
8574446,Phengaris nausithous,EVL_any
11947131,Phengaris nausithous,EVL_any
8106643,Phengaris nausithous,EVL_any
7587556,Phengaris nausithous,EVL_any
12671881,Phengaris nausithous,EVL_any
12671743,Phengaris nausithous,EVL_any
12672007,Phengaris nausithous,EVL_any
12671475,Phengaris nausithous,EVL_any
12671429,Phengaris nausithous,EVL_any
12671093,Phengaris nausithous,EVL_any
12671332,Phengaris nausithous,EVL_any
12671399,Phengaris nausithous,EVL_any
12671148,Phengaris nausithous,EVL_any
12671962,Phengaris nausithous,EVL_any
12671486,Phengaris nausithous,EVL_any
12672013,Phengaris nausithous,EVL_any
12671805,Phengaris nausithous,EVL_any
11947086,Phengaris nausithous,EVL_any
11947132,Phengaris nausithous,EVL_any
11947114,Phengaris nausithous,EVL_any
11947170,Phengaris nausithous,EVL_any
11947145,Phengaris nausithous,EVL_any
8574455,Phengaris nausithous,EVL_any
7587797,Phengaris nausithous,EVL_any
7587796,Phengaris nausithous,EVL_any
7587795,Phengaris nausithous,EVL_any
7549430,Phengaris nausithous,EVL_any
7549429,Phengaris nausithous,EVL_any
7549423,Phengaris nausithous,EVL_any
7521148,Phengaris nausithous,EVL_any
7187670,Phengaris nausithous,EVL_any
7187631,Phengaris nausithous,EVL_any
7187630,Phengaris nausithous,EVL_any
7187543,Phengaris nausithous,EVL_any
7187532,Phengaris nausithous,EVL_any
7187531,Phengaris nausithous,EVL_any
7187530,Phengaris nausithous,EVL_any
7187529,Phengaris nausithous,EVL_any
7187528,Phengaris nausithous,EVL_any
7187527,Phengaris nausithous,EVL_any
7187511,Phengaris nausithous,EVL_any
7187445,Phengaris nausithous,EVL_any
7187300,Phengaris nausithous,EVL_any
7187287,Phengaris nausithous,EVL_any
7187278,Phengaris nausithous,EVL_any
7038147,Phengaris nausithous,EVL_any
7038146,Phengaris nausithous,EVL_any
7038145,Phengaris nausithous,EVL_any
7038129,Phengaris nausithous,EVL_any
7038118,Phengaris nausithous,EVL_any
7030803,Phengaris nausithous,EVL_any
7030802,Phengaris nausithous,EVL_any
